1068,Aquitaine,FR
1069,Auvergne,FR
1070,Basse-Normandie,FR
1071,Bourgogne,FR
1072,Bretagne,FR
1073,Centre,FR
1074,Champagne-Ardenne,FR
1075,Corse,FR
1076,Franche-Comte,FR
1077,Haute-Normandie,FR
1078,Ile-deFR
1079,Languedoc-Roussillon,FR
1080,Limousin,FR
1081,Lorraine,FR
1082,Midi-Pyrenees,FR
1083,Nord-Pas-de-Calais,FR
1084,Pays de la Loire,FR
1085,Picardie,FR
1086,Poitou-Charentes,FR
1087,Provence-Alpes-Cote d'Azur,FR
1088,Rhone-Alpes,FR
ES,Spain,ES
IT,Italy,IT
DE,Germany,DE
