1017,Balearic Islands,ES
1018,La Rioja,ES
1019,Madrid,ES
1020,Region of Murcia,ES
1021,Navarre,ES
1022,Asturias,ES
1023,Cantabria,ES
1024,Andalusia,ES
1025,Aragon,ES
1026,Canary Islands,ES
1027,Castilla-La Mancha,ES
1028,Castile and Leon,ES
1029,Catalonia,ES
1030,Extremadura,ES
1031,Galicia,ES
1032,Basque Country,ES
1033,Comunidad Valenciana,ES
