ISO_CODE_1,ISO_CODE_2,FBDist
AD,AD,0.0
AD,AE,4.033900802502081
AD,AF,4.436711235488656
AD,AG,4.033307696257207
AD,AI,4.658854215805935
AD,AL,4.053533656370626
AD,AM,3.8252048793125297
AD,AO,3.9185584015231645
AD,AR,3.6053033413045825
AD,AS,4.338789070512468
AD,AT,3.523179196121602
AD,AU,3.6301075933757194
AD,AW,4.310290731934785
AD,AZ,3.9739569430432
AD,BA,4.258944009541979
AD,BB,3.7278770039720404
AD,BD,4.239252411814874
AD,BE,3.296413130224338
AD,BF,4.152064547663099
AD,BG,3.917332969301283
AD,BH,3.8908364638507122
AD,BI,4.1299043044397985
AD,BJ,4.124462710601006
AD,BM,4.101576897367249
AD,BN,4.146475939244259
AD,BO,3.5829756905670176
AD,BQ,5.892545796977092
AD,BR,3.781416657220376
AD,BS,3.7604390221844675
AD,BT,3.9752707936375784
AD,BW,4.512386625124596
AD,BY,4.102186128261669
AD,BZ,3.658366302233753
AD,CA,3.425747016326336
AD,CD,4.182344865090472
AD,CF,4.075532874266089
AD,CG,4.123390602109691
AD,CH,3.3045691588907995
AD,CI,4.009246385305897
AD,CK,6.740852165856281
AD,CL,3.629651906821667
AD,CM,4.109780625008889
AD,CN,4.308114694500484
AD,CO,3.551225028844439
AD,CR,4.681386812164966
AD,CV,3.706849611240741
AD,CW,4.035923919787762
AD,CY,3.9249620553427045
AD,CZ,3.5998418682796163
AD,DE,3.5018685612459404
AD,DJ,4.037002552277421
AD,DK,3.6523435786972174
AD,DM,4.302011922389982
AD,DO,3.595598873398707
AD,DZ,3.9030660701556497
AD,EC,3.6995823278613265
AD,EE,3.547418398487537
AD,EG,4.27559655531098
AD,ER,4.9152248888999
AD,ES,2.9858404649308805
AD,ET,4.383429302708618
AD,FI,3.5595686808257168
AD,FJ,3.876944357882795
AD,FM,4.421494569092669
AD,FO,4.430504506344317
AD,FR,3.35547809322614
AD,GA,3.962510584170567
AD,GB,3.416806436485981
AD,GD,3.9409987206424457
AD,GE,3.76737284350082
AD,GF,3.5987319184769855
AD,GH,4.205726855285359
AD,GI,5.068023784609643
AD,GL,4.389360139329177
AD,GM,4.174121059665242
AD,GN,4.125913061765951
AD,GP,3.6845351388586813
AD,GQ,4.549058159568666
AD,GR,3.8524855178842667
AD,GT,3.638733629107839
AD,GU,3.8227364444595175
AD,GW,4.388666259320399
AD,GY,3.7409854604957737
AD,HK,4.79759626192253
AD,HN,3.652677616415891
AD,HR,4.204926715788455
AD,HT,4.175558747366281
AD,HU,3.7150641024140967
AD,ID,4.1082898765291
AD,IE,4.0301531918963835
AD,IL,4.12352580508728
AD,IM,4.553744513452505
AD,IN,4.146363094767791
AD,IQ,5.078670583849218
AD,IS,3.892165761051493
AD,IT,3.6931624826964815
AD,JM,3.882205213678711
AD,JO,5.583801590478623
AD,JP,4.132635083977456
AD,KE,4.017907823973539
AD,KG,3.818669663521831
AD,KH,4.238206124583696
AD,KI,4.52680772387693
AD,KM,4.495607331459946
AD,KN,5.272971891959875
AD,KR,4.199417509540172
AD,KW,3.9632431715712744
AD,KY,3.9569520609026214
AD,KZ,3.9339150215067926
AD,LA,4.167244116780725
AD,LB,3.9442307597953006
AD,LC,3.8512247070010623
AD,LI,5.740146421599791
AD,LK,4.112528786379561
AD,LR,4.083923788749197
AD,LS,4.170246488427945
AD,LT,4.576548423255053
AD,LU,3.203051908181359
AD,LV,3.5838116831898224
AD,LY,4.566389656480554
AD,MA,3.932871351792907
AD,MC,5.262704805246707
AD,MD,3.7241743237726754
AD,ME,3.993693539365285
AD,MF,12.717997654840607
AD,MG,3.9165740768641655
AD,MH,4.459576049185959
AD,MK,4.165920541957738
AD,ML,4.102156816091441
AD,MM,4.0497062648730076
AD,MN,4.107650513269105
AD,MO,4.783206783692883
AD,MP,4.129808052791845
AD,MQ,3.7616936912408088
AD,MR,4.117990438263172
AD,MS,13.74623858479682
AD,MT,4.308938522999177
AD,MU,4.010213226824275
AD,MV,4.301027450558644
AD,MW,4.253713094555742
AD,MX,3.559540433423868
AD,MY,5.13671351898231
AD,MZ,3.891285985486837
AD,NA,3.9004071224336894
AD,NC,3.8928351100769696
AD,NE,4.172837050440713
AD,NG,4.172071823935143
AD,NI,3.6579545405749556
AD,NL,3.5049392901589767
AD,NO,3.6185790570300123
AD,NP,4.145772529067784
AD,NR,8.779772244251083
AD,NU,5.151759752403324
AD,NZ,3.6498830032906406
AD,OM,3.9794332146336586
AD,PA,3.4572432166434433
AD,PE,3.5408345233062586
AD,PF,4.032742137554999
AD,PG,4.169509898442719
AD,PH,3.950751394880971
AD,PK,4.22913862076862
AD,PL,3.585451587924774
AD,PM,12.096133997376047
AD,PR,5.5220502624764745
AD,PS,5.586173920483339
AD,PT,3.7130918812693454
AD,PW,8.041162080918761
AD,PY,3.9376443471916036
AD,QA,3.872795569513126
AD,RE,3.8476612417716614
AD,RO,3.960867946474464
AD,RS,3.958446647500655
AD,RU,4.0277473673869935
AD,RW,4.282941785807822
AD,SA,3.968302279931991
AD,SB,4.193548623985673
AD,SC,3.728770922330576
AD,SE,3.5603986407263477
AD,SG,3.7494438506367906
AD,SI,3.693801749341704
AD,SK,3.6768800552562944
AD,SL,4.355296880110389
AD,SM,9.662176903942045
AD,SN,4.117272866641477
AD,SO,4.292643929776635
AD,SR,4.197083280477776
AD,SS,4.232811892650362
AD,ST,4.219614808200948
AD,SV,3.7842513605331356
AD,SX,4.309517823852859
AD,SZ,4.187789038101331
AD,TC,4.342339118598563
AD,TD,4.479295693241294
AD,TG,4.216853029939909
AD,TH,5.346907242184686
AD,TJ,3.9595814058269703
AD,TK,5.985511075271438
AD,TL,3.8989692964995264
AD,TM,4.7684531246318596
AD,TN,4.4510837198710025
AD,TO,4.095963494349305
AD,TR,3.922243067525364
AD,TT,4.459207550031356
AD,TV,7.6309523720474095
AD,TW,5.163581541661691
AD,TZ,4.336785183558261
AD,UA,3.7771480454878485
AD,UG,4.065464235512719
AD,US,3.474917782978778
AD,UY,3.769805636572238
AD,UZ,3.8265723273615992
AD,VC,4.002397907829831
AD,VE,3.821019254712278
AD,VG,5.731930951051376
AD,VI,4.67782284845339
AD,VN,5.601711046573172
AD,VU,3.9352730234959235
AD,WF,7.614665535218104
AD,WS,3.936771179568991
AD,XK,4.772283540141396
AD,YE,4.2202023982128205
AD,YT,3.9631940476329195
AD,ZA,3.771773849187029
AD,ZM,4.095105033169449
AD,ZW,4.172908916633363
AE,AD,4.033900802502081
AE,AE,0.0
AE,AF,3.400373661835858
AE,AG,3.6600234566556584
AE,AI,4.823842143434478
AE,AL,3.6671259759918713
AE,AM,3.126022994066197
AE,AO,3.556981936394674
AE,AR,3.7261720607851747
AE,AS,3.9941892423880656
AE,AT,3.3342238167074654
AE,AU,3.377153227856765
AE,AW,4.5803046382749395
AE,AZ,3.185143747512513
AE,BA,3.874742427819431
AE,BB,3.236350089943684
AE,BD,2.9988485829903446
AE,BE,3.0870030176230636
AE,BF,3.390332855429629
AE,BG,3.500045989786086
AE,BH,1.7324283827591673
AE,BI,3.4099002157291722
AE,BJ,3.308880785051969
AE,BM,4.281068493803475
AE,BN,3.2579027256788526
AE,BO,3.492312155186709
AE,BQ,6.21078959543165
AE,BR,3.647900683646955
AE,BS,3.164112414357171
AE,BT,3.1675908618860373
AE,BW,4.0154257722540505
AE,BY,3.3782752804077445
AE,BZ,3.3181769182690837
AE,CA,3.0165232153981547
AE,CD,3.420613012110781
AE,CF,3.328038071910486
AE,CG,3.3943782571880443
AE,CH,2.98612207634154
AE,CI,3.118859224667424
AE,CK,6.797990093816819
AE,CL,3.6733346741401918
AE,CM,3.2842258400030513
AE,CN,3.503512404713563
AE,CO,3.2224856761768867
AE,CR,5.044169985013018
AE,CV,3.4795521916561136
AE,CW,3.9980587253859605
AE,CY,3.7156365372431215
AE,CZ,3.167840127688857
AE,DE,2.950141415527565
AE,DJ,3.1829825444202853
AE,DK,3.4212643758519303
AE,DM,3.9595288844492043
AE,DO,3.3254612924621094
AE,DZ,2.912315064591244
AE,EC,3.6075570622287936
AE,EE,3.0695073336156247
AE,EG,3.1763856455798045
AE,ER,4.132805436104924
AE,ES,3.2248693177795906
