ISO_CODE_1,ISO_CODE_2,FBDist
AD,AD,0.0
AD,AE,0.23355247493544373
AD,AF,0.279232894413738
AD,AG,0.22716113683141903
AD,AI,0.262020933530829
AD,AL,0.21649797483136501
AD,AM,0.2162547737411913
AD,AO,0.22922977894052543
AD,AR,0.17289970545512323
AD,AS,0.2749749667454461
AD,AT,0.17423444057950277
AD,AU,0.17741131535586296
AD,AW,0.20760556258884777
AD,AZ,0.23666170703466183
AD,BA,0.2326425642502281
AD,BB,0.2006221678778124
AD,BD,0.2737552827386285
AD,BE,0.15570626453488723
AD,BF,0.2614325018108995
AD,BG,0.20364484325187604
AD,BH,0.21868964376890343
AD,BI,0.25486320890190595
AD,BJ,0.25199101756859443
AD,BM,0.209571536638532
AD,BN,0.23179084248716808
AD,BO,0.18312249180118678
AD,BQ,0.309220313546273
AD,BR,0.19258474487900645
AD,BS,0.20411690027677765
AD,BT,0.235912256470587
AD,BW,0.2520627018829036
AD,BY,0.24466797160431564
AD,BZ,0.19014781862908336
AD,CA,0.16901714575045457
AD,CD,0.26471188246042954
AD,CF,0.24402773581552462
AD,CG,0.2561047024779588
AD,CH,0.1565938240340864
AD,CI,0.2412146190172848
AD,CK,0.40171412838812615
AD,CL,0.17570532079864032
AD,CM,0.2560356331810604
AD,CN,0.2659719288672745
AD,CO,0.18338908844618318
AD,CR,0.2101075936152944
AD,CV,0.20042462106156367
AD,CW,0.20611721278862882
AD,CY,0.18647052906319683
AD,CZ,0.18808532418666402
AD,DE,0.17757877779796916
AD,DJ,0.23970020064331998
AD,DK,0.18738213212619048
AD,DM,0.26741636236978006
AD,DO,0.18691323966091677
AD,DZ,0.22466504438449664
AD,EC,0.1914495841627698
AD,EE,0.1824827169386526
AD,EG,0.24771149465592956
AD,ER,0.3961512137386778
AD,ES,0.12564321083477537
AD,ET,0.29514144268801035
AD,FI,0.18423178907619686
AD,FJ,0.21173097554036213
AD,FM,0.30489211742536193
AD,FO,0.2640594813315976
AD,FR,0.16034194916989108
AD,GA,0.2337436467379186
AD,GB,0.1669697245580981
AD,GD,0.2228124149465568
AD,GE,0.2095078948995427
AD,GF,0.18865923662784867
AD,GH,0.2691154473292642
AD,GI,0.22546019089423364
AD,GL,0.2371685443206295
AD,GM,0.2590333965826114
AD,GN,0.2583790463104657
AD,GP,0.1936931902267609
AD,GQ,0.3214018314053697
AD,GR,0.19327076031778267
AD,GT,0.1899443690428464
AD,GU,0.20693050023041903
AD,GW,0.2845379463655313
AD,GY,0.2040538413625288
AD,HK,0.2568159564035115
AD,HN,0.19330134926471865
AD,HR,0.2096847300585828
AD,HT,0.2653439287444934
AD,HU,0.18825718489079557
AD,ID,0.2557990007910599
AD,IE,0.19271616081511878
AD,IL,0.21479575867025114
AD,IM,0.21600304986461416
AD,IN,0.261161660779636
AD,IQ,0.30633168476571426
AD,IS,0.2167508130535709
AD,IT,0.17573186140287567
AD,JM,0.22327259462879023
AD,JO,0.29557168381104304
AD,JP,0.2498479219122247
AD,KE,0.2423000584328805
AD,KG,0.2157508239015824
AD,KH,0.25955913591511337
AD,KI,0.32254560161206713
AD,KM,0.30920191002141084
AD,KN,0.27806838668047074
AD,KR,0.25614951398319896
AD,KW,0.2302200459061452
AD,KY,0.20339840003416543
AD,KZ,0.23130816548040734
AD,LA,0.25598366897417846
AD,LB,0.21411883977418544
AD,LC,0.2158320909931607
AD,LI,0.30867551313503516
AD,LK,0.25094843398605493
AD,LR,0.2510141064153144
AD,LS,0.2640309057343211
AD,LT,0.2287341996573672
AD,LU,0.1420032685002991
AD,LV,0.1869226001210954
AD,LY,0.2639470403861359
AD,MA,0.22584607323418515
AD,MC,0.2945907227715119
AD,MD,0.20274454534512854
AD,ME,0.20864134273334844
AD,MF,0.5224199994550185
AD,MG,0.2286273252596388
AD,MH,0.308505954380059
