,id,culture,continent
160,0.2.4.12.24.33.55.81.103.119.151.160,,
161,0.2.4.12.24.33.55.81.103.119.161,,
162,0.1.3.6.9.19.21.32.48.64.133.162,,
163,0.2.4.15.20.35.96.125.163,,
164,0.1.3.13.22.31.67.94.121.140.146.164,,
165,0.1.3.6.9.17.38.43.124.165,,
166,0.2.4.15.28.30.56.84.116.152.166,,
167,0.2.4.12.24.59.72.128.167,,
168,0.2.4.12.24.59.72.128.168,,
169,0.2.4.15.20.29.39.115.169,,
170,0.2.4.12.24.59.107.118.139.170,,
171,0.2.4.12.40.65.78.117.147.171,,
172,0.1.3.6.37.88.113.158.172,,
173,0.1.3.13.22.31.67.94.121.140.146.173,,
174,0.2.4.12.24.33.55.81.103.174,,
175,0.1.3.6.9.19.21.32.48.57.68.90.175,,
176,0.1.3.6.37.88.176,,
177,0.1.3.6.9.19.21.66.177,,
178,0.2.4.12.24.33.55.138.178,,
179,0.2.4.12.24.33.55.81.103.119.151.160.179,,
180,0.1.3.6.37.88.113.130.148.180,,
181,0.1.3.6.9.19.21.32.48.57.68.92.120.154.181,,
182,0.1.3.6.37.88.176.182,,
183,0.1.3.6.37.88.113.158.172.183,,
184,0.2.4.12.24.59.107.134.184,,
185,0.2.4.15.20.35.96.185,,
186,0.1.3.6.9.19.21.32.48.57.68.90.175.186,,
187,0.1.3.6.9.19.47.100.132.187,,
188,0.1.3.6.9.19.21.32.61.69.95.188,,
189,0.1.3.6.9.19.47.189,,
190,0.2.4.12.24.33.55.81.103.119.151.160.190,,
191,0.1.3.6.37.88.176.191,,
192,0.2.4.15.20.29.41.192,,
193,0.2.4.12.24.33.55.138.150.193,,
194,0.1.3.6.37.58.75.135.149.194,,
195,0.2.4.12.24.59.72.128.168.195,,
196,0.2.4.12.24.33.55.138.178.196,,
197,0.2.4.12.24.59.107.118.139.170.197,,
198,0.1.3.6.9.19.21.32.48.64.133.198,,
199,0.1.3.6.9.19.21.32.48.57.68.92.120.199,,
200,0.2.4.12.24.33.55.81.103.119.151.160.179.200,,
201,0.2.4.15.20.29.41.192.201,,
202,0.2.4.12.24.33.55.81.103.119.151.160.179.202,,
203,0.2.4.15.20.35.96.125.163.203,,
204,0.1.3.6.9.19.21.32.48.57.68.90.153.204,,
205,0.2.4.12.24.59.72.128.167.205,,
206,0.2.4.15.20.29.41.192.206,,
207,0.1.3.6.9.19.47.100.132.187.207,,
208,0.1.3.6.9.19.21.32.48.57.68.92.120.154.181.208,,
209,0.1.3.6.9.19.21.32.48.64.133.162.209,,
210,0.2.4.12.24.33.55.138.150.193.210,,
211,0.2.4.12.40.65.78.91.211,,
212,0.1.3.6.9.19.21.32.48.57.68.92.120.199.212,,
213,0.2.4.15.20.35.96.125.163.213,,
214,0.2.4.15.20.35.96.125.214,,
215,0.2.4.12.40.65.78.117.147.171.215,,
216,0.2.4.15.20.29.41.192.206.216,,
217,0.2.4.15.20.29.41.192.201.217,,
218,0.1.3.6.9.19.21.32.48.64.133.162.218,,
219,0.1.3.6.9.19.21.32.61.89.122.143.219,,
220,0.1.3.6.9.17.38.43.155.220,,
221,0.2.4.12.24.33.55.81.103.174.221,,
222,0.1.3.6.9.19.21.66.177.222,,
223,0.2.4.12.24.33.55.81.103.119.151.160.179.202.223,,
224,0.2.4.12.24.59.72.128.168.195.Zimbabwe,,AF
225,0.2.4.12.24.59.72.128.168.Zambia,,AF
226,0.2.4.12.24.59.72.128.167.South Africa,Islamic,AF
227,0.2.4.12.40.65.78.91.Mayotte,,AF
228,0.2.4.15.20.29.39.70.85.Yemen,,AS
229,0.1.3.6.9.19.47.189.Kosovo,,EU
